name,raw_review,date
1000 DICAS DE JARDINAGEM,"O melhor banco para os brasileiros tanto pessoa física quanto jurídica. É um banco confiável, que tem estrutura física com maís de cinco mil agências, tem mais de 200 anos, está melhorando a cada dia. O aplicativo é incrível, tem muitos recursos, veio pra facilitar a vida do brasileiro e atuar de forma mais próxima do cliente e com transparência.",23 de janeiro de 2020
Gilvar Tavares Lemos,"Eu tenho uma conta empresarial e desde o mês de dezembro não funciona mais no aplicativo, já fui na agência para liberar e continua sem aceitar o meu cartão para liberar o funcionamento. Será preciso trocar o cartão para funcionar? Aparece a mensagem que não é liberado para este cartão, meu cartão é Ourocard Empresarial da Elo!",20 de janeiro de 2020
joana nize de oliveira souza,"Instalei novamente o aplicativo BB e não estou conseguindo pagar a fatura do meu cartão. Quero um esclarecimento de como resolver esse problema. As outras faturas paguei normalmente com o código de barras, mas o cartão do banco não estou conseguindo.",13 de janeiro de 2020
Luís Henrique Dos Santos Cordeiro,"Péssimo. Fiz o cadastro para ter o cartão BB e finalizei o pedido, recebo uma mensagem que tenho pendência de dados quando entro no app informa: sistema indisponível. A central de atendimento não resolve nada, a atendente pediu para numa agencia para resolver "" Deus mim livre"".",22 de janeiro de 2020
roberio gomes,App funcionando perfeitamente 🙏🏿🙏🏿,28 de janeiro de 2020
Cristina Fernandes,"Muito bom só precisa ser mais facilitado o envio de mensagens. Gostaria que bloqueasse a parte de antecipação do décimo terceiro, pois isso irá facilitar minha vida pra não cair na tentação de antecipar e sofrer como agora que o governador de MG não tem previsão para pagar",27 de janeiro de 2020
Denis Mendes,"O Aplicativo do Banco do Brasil é muito bom, estou um pouco insatisfeito devido a uma operação que fui realizar dia 09/01/20 uma recarga de celular as duas primeiras tentativas deram eradas até aí tudo bem na terceira deu certo, mas quando fui observar foi debitado DUAS vezes o mesmo valor. Aí fica minha indignação.",11 de janeiro de 2020
Luis Felipe,"Foi cobrado três tarifas em uma valor que considero injusto por transferências bancárias que fiz pelo aplicativo, que consta que ""transferência pelo app do BB"" são ilimitadas mas sem especificar que são ilimitadas as transferências para o próprio banco. E o aplicativo e o banco erram em não colocar que tal valor será cobrado na hora em que está fazendo há transferência. Decepcionado com a qualidade do serviço",22 de janeiro de 2020
Maycon dos Santos,"Estou tendo problemas, quando entro em meu perfil, clico nas configurações gerais, não consigo rolar pra baixo e mal consegui ativar as notificações do app, porque esta fika reabrindo a cada segundo e pra ativar as notificações tive que marcar a opção nesse intervalo de 1segundo, que na verdade acho q é menos de 1 segundo. Portanto assim q resolver esse bug, darei 5 estrelas, pois gostaria de ver as opções que tem abaixo e não sei que configuração tem na opção avançado.",10 de janeiro de 2020
Paulo H. de Jesus,"Mudei de opinião. Se aumentar meu limite do cartão de crédito eu dou 5 🌟. Muito bom o aplicativo, só que ainda não resolve tudo, para mudar o telefone principal por exemplo tem que ir a um caixa eletrônico deles, que é um inconveniente pra mim, pois onde eu moro só tem uma agência. No mais, muito bom. 👏🏼👏🏼👏🏼👏🏼👏🏼",26 de janeiro de 2020
Joao Pedro,"O aplicativo é muito, mas creio que poderia melhorar bastante, se liberasse deposito por boleto, isso ajudaria muito os usuários, uma vez que dava pra fazer isso em qualquer correspondente bancário. Por favor nos ajudem e façam essa melhoria.",26 de janeiro de 2020
Cintia bueno peres cintia,"É prático,mas ao mesmo tempo é incoveniente pois tem procedimentos q não dá pra resolver pelo celular,sendo necessário ir ao banco,eu penso,que ,se tenho o aplicativo pra fazer as transações necessárias é pra evitar ir ao banco!fica a dica!",23 de janeiro de 2020
Elivan Gomes De Almeida,"Muito bom especial resolve todas as minhas necessidades relativas a BANCO.,OBS. O meu aplicativo BB não está lendo código de barra tenho que digitar o código. Mas dos bancos concorrentes de vocês lê o código de barras, então eu acho que é um aplicativo BB",22 de janeiro de 2020
Azelio Negrão Jr,Vc cadastra seu Pc novo daí precisa do QR code e não consegue cadastrar o QR porque o smartphone também é novo e não consegue ler o QR code na agência. Solução? O prazo de carência não termina nunca...?? Tudo muito irritante !!! Por que os terminais não tem bluetooth??,27 de janeiro de 2020
samuel boca,"Usei por 5 anos aplicativo sempre funcionou bem, a mais de dois meses que deu acesso bloqueado, o suporte técnico péssimo, nem na agencia resolveram, fiz o procedimentos por duas vezes, alteracao de todas as senhas, cheguei a trocar o aparelho e nada.nota 0 para o suporte técnico do banco.",27 de janeiro de 2020
Nivaldo Guimaraes,"inibe varias funçoes e nao explica ou sugere alternativas.Mesmo contendo no pacote de serviços pagos mensalmente o App parece ser travado propositalmente para dar ""bugs"". LAMENTAVEL. Ao manter meu comentário de março de 2019 a data foi atualizada. Sabe isto tudo msg e troca de informações aqui é bem falso!!!!",24 de janeiro de 2020
Carlos José Duarte,Melhor App de banco que conheço. Completíssimo!! Destaque para: - Financiamento de veículo e imóvel com entrega de documentação e nota fiscal diretamente pelo app com acompanhamento em tempo real. Liberação do valor do veículo no mesmo dia. - Criação de cartão virtual na hora trazendo mais segurança e comodidade.,12 de janeiro de 2020
Diêgo Henrique,App muito bom. Tem quase tudo incluindo controle de gastos financeiros. Pena que não tem uma calculadora. Sugiro colocarem uma opção de janela flutuante pra calculadora dentro do app. porque ter que ficar saindo do app e voltando toda vez que for fazer um cálculo é muito chato.,9 de janeiro de 2020
alessandra novaes,"Até hj estava funcionando bem. Mas tem mais de 20dias q não é possível acessar qualquer informação, desde limite disponível ou gastos no cartão. Diz q cliente não possui cartão. E se quiser acessar outras informações Temporariamente indisponível SEMPRE, Tá complicado!!! Gostaria de uma resposta",24 de janeiro de 2020
